card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market
Requisition Raid,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3359.0,live,0.2996,-3.354838709677426,$0-1,0.26
Island (0268),1.06,1.49,0.48,40.56603773584905,-54.71698113207547,6735.0,live,1.27544,20.324528301886776,$1-2,
Forest (0271),0.82,1.79,0.37,118.29268292682929,-54.8780487804878,6556.0,live,1.53224,86.85853658536587,$0-1,
Disciple of Freyalise,2.57,4.49,1.64,74.7081712062257,-36.18677042801556,3015.0,live,3.84344,49.5501945525292,$2-5,
Genji Glove,11.36,11.99,5.9,5.545774647887331,-48.06338028169014,2421.0,live,10.26344,-9.652816901408451,$10-20,
Improvisation Capstone,10.47,16.99,9.37,62.27316141356254,-10.506208213944616,2404.0,live,14.54344,38.905826170009526,$10-20,10.2
"Shuri, Wakandan Inventor",0.39,0.69,0.15,76.9230769230769,-61.53846153846154,5051.0,live,0.5906399999999999,51.44615384615384,$0-1,0.35
Bulk Up,0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,3106.0,live,0.2996,-19.02702702702703,$0-1,0.25
Bitter Triumph,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,3343.0,live,0.2996,6.999999999999981,$0-1,0.42
"Loki, God of Mischief",2.59,5.99,2.17,131.2741312741313,-16.216216216216214,4095.0,live,5.12744,97.9706563706564,$2-5,
Hare Apparent,2.32,3.49,0.91,50.43103448275864,-60.77586206896552,8091.0,live,2.9874400000000003,28.7689655172414,$2-5,2.07
"Prismari, the Inspiration",4.07,4.99,3.12,22.6044226044226,-23.34152334152334,2276.0,live,4.27144,4.949385749385745,$2-5,
Studious First-Year,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,4480.0,live,0.2996,-3.354838709677426,$0-1,
Mirkwood Bats,1.34,1.49,1.05,11.19402985074626,-21.64179104477612,2781.0,live,1.27544,-4.817910447761207,$1-2,1.4
Decorum Dissertation,6.97,8.49,5.21,21.80774748923961,-25.251076040172165,2268.0,live,7.26744,4.267431850789095,$5-10,6.55
Accursed Marauder,0.37,0.39,0.15,5.405405405405411,-59.45945945945946,2829.0,live,0.33384,-9.772972972972966,$0-1,0.27
"Captain America, Living Legend",0.3,0.35,0.15,16.666666666666664,-50.0,3147.0,live,0.2996,-0.1333333333333371,$0-1,0.2
Restoration Seminar,3.33,4.49,3.12,34.83483483483484,-6.306306306306306,2297.0,live,3.84344,15.418618618618622,$2-5,3.46
"Witherbloom, the Balancer",4.08,5.49,3.11,34.55882352941177,-23.77450980392157,2192.0,live,4.69944,15.182352941176468,$2-5,3.9
The Serpent Society,0.7,1.29,0.15,84.28571428571429,-78.57142857142857,3348.0,live,1.10424,57.74857142857145,$0-1,0.49
The Scarlet Witch,0.6,0.99,0.15,65.0,-75.0,2758.0,live,0.84744,41.24,$0-1,0.49
Dark Fortress,2.56,3.99,2.54,55.859375,-0.7812500000000007,3487.0,live,3.4154400000000003,33.415625000000006,$2-5,3.5
Exsanguinate,0.38,0.79,0.15,107.89473684210526,-60.526315789473685,2639.0,live,0.6762400000000001,77.95789473684212,$0-1,0.41
Hexing Squelcher,20.98,29.99,18.39,42.94566253574832,-12.34509056244042,2249.0,live,25.67144,22.361487130600555,$20-50,20.18
An Offer You Can't Refuse,3.01,4.99,2.34,65.78073089700999,-22.259136212624583,2327.0,live,4.27144,41.90830564784054,$2-5,2.52
The Vision,0.72,1.29,0.26,79.16666666666667,-63.888888888888886,2965.0,live,1.10424,53.36666666666668,$0-1,0.68
Duty Beyond Death,0.27,0.35,0.15,29.62962962962961,-44.44444444444445,2739.0,live,0.2996,10.962962962962948,$0-1,0.15
World War Hulk,0.96,2.49,0.76,159.37500000000003,-20.83333333333333,3290.0,live,2.13144,122.025,$0-1,1.12
Dreamroot Cascade,0.85,1.79,0.51,110.58823529411764,-40.0,2644.0,live,1.53224,80.26352941176471,$0-1,0.95
Buried Alive,1.01,2.29,0.51,126.73267326732672,-49.50495049504951,2525.0,live,1.96024,94.08316831683167,$1-2,0.84
Arc Reactor,1.04,1.99,0.39,91.34615384615384,-62.5,3480.0,live,1.70344,63.792307692307695,$1-2,0.78
"Mjolnir, Hammer of Thor",22.12,32.99,23.39,49.14104882459313,5.741410488245929,2168.0,live,28.23944,27.66473779385172,$20-50,
"Mister Fantastic, Reed Richards (Borderless)",0.58,0.59,0.15,1.7241379310344844,-74.13793103448275,3191.0,live,0.5050399999999999,-12.924137931034489,$0-1,
Mathemagics,2.91,3.49,2.85,19.93127147766323,-2.0618556701030943,2219.0,live,2.9874400000000003,2.661168384879731,$2-5,3.07
Pensive Professor,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2736.0,live,0.41944,-2.4558139534883754,$0-1,0.51
Gleaming Bastion,1.98,4.99,1.55,152.02020202020202,-21.71717171717172,3468.0,live,4.27144,115.72929292929297,$1-2,2.75
Emeritus of Abundance,2.51,2.99,1.56,19.12350597609564,-37.848605577689234,2195.0,live,2.55944,1.969721115537855,$2-5,
Urza's Cave,1.12,1.99,0.51,77.6785714285714,-54.46428571428572,2726.0,live,1.70344,52.09285714285713,$1-2,1.0
Echocasting Symposium,3.71,4.49,2.54,21.024258760107823,-31.536388140161726,2144.0,live,3.84344,3.5967654986522968,$2-5,
Hawkeye's Bow,0.25,0.35,0.15,39.99999999999999,-40.0,6052.0,live,0.2996,19.83999999999999,$0-1,0.16
Hidden Lair,2.66,6.49,2.08,143.98496240601503,-21.80451127819549,3431.0,live,5.55544,108.85112781954886,$2-5,3.51
Arcane Signet,0.62,0.99,0.46,59.67741935483871,-25.80645161290322,3314.0,live,0.84744,36.68387096774193,$0-1,0.49
Harmonized Trio,0.57,0.59,0.15,3.5087719298245648,-73.68421052631578,2591.0,live,0.5050399999999999,-11.39649122807018,$0-1,
Icetill Explorer,14.78,21.99,14.77,48.78213802435724,-0.0676589986468186,2211.0,live,18.82344,27.35751014884979,$10-20,14.18
The Ten Rings,17.4,24.99,17.71,43.62068965517242,1.781609195402312,2274.0,live,21.39144,22.939310344827597,$10-20,19.6
Sleight of Hand,0.29,0.35,0.15,20.6896551724138,-48.27586206896552,3192.0,live,0.2996,3.3103448275862064,$0-1,0.15
Marionette Apprentice,1.01,1.99,0.47,97.02970297029702,-53.46534653465347,2436.0,live,1.70344,68.65742574257426,$1-2,
Revitalizing Repast,1.06,1.99,0.98,87.73584905660377,-7.547169811320761,2508.0,live,1.70344,60.70188679245283,$1-2,
Training Compound,1.69,3.99,1.08,136.09467455621305,-36.094674556213015,3397.0,live,3.4154400000000003,102.09704142011836,$1-2,2.04
Sundering Eruption,1.04,1.79,1.02,72.11538461538461,-1.923076923076925,3207.0,live,1.53224,47.33076923076924,$1-2,
"Lorehold, the Historian",1.77,1.49,0.96,-15.819209039548024,-45.76271186440678,2087.0,live,1.27544,-27.94124293785311,$1-2,1.75
Gathering Place,1.64,3.49,1.77,112.80487804878052,7.92682926829269,3383.0,live,2.9874400000000003,82.16097560975612,$1-2,2.47
Traumatic Critique,0.43,0.49,0.15,13.953488372093023,-65.11627906976744,2887.0,live,0.41944,-2.4558139534883754,$0-1,0.57
Professor Dellian Fel,4.38,6.99,3.64,59.589041095890416,-16.89497716894977,2303.0,live,5.98344,36.608219178082194,$2-5,4.1
Prismari Charm,0.34,0.35,0.15,2.9411764705882213,-55.88235294117647,3461.0,live,0.2996,-11.882352941176483,$0-1,0.25
"Taskmaster, Mercenary Mimic",0.44,0.69,0.15,56.8181818181818,-65.90909090909092,2786.0,live,0.5906399999999999,34.23636363636362,$0-1,0.43
Super-Soldier Serum,0.8,1.29,0.42,61.24999999999999,-47.5,3353.0,live,1.10424,38.03000000000001,$0-1,0.77
"Ultron, Artificial Malevolence",12.69,19.99,13.35,57.52561071710007,5.200945626477543,2084.0,live,17.111439999999998,34.84192277383766,$10-20,14.0
Witherbloom Charm,0.31,0.35,0.15,12.903225806451609,-51.61290322580645,3312.0,live,0.2996,-3.354838709677426,$0-1,0.19
"Quandrix, the Proof",2.15,0.99,1.45,-53.95348837209302,-32.558139534883715,2013.0,live,0.84744,-60.584186046511626,$2-5,
Exhibition Tidecaller,0.66,0.59,0.15,-10.606060606060614,-77.27272727272727,2863.0,live,0.5050399999999999,-23.47878787878789,$0-1,0.5
Abrade,0.3,0.39,0.15,30.00000000000001,-50.0,2780.0,live,0.33384,11.280000000000012,$0-1,0.15
Hydroelectric Specimen,0.93,1.49,0.47,60.21505376344085,-49.462365591397855,2648.0,live,1.27544,37.14408602150536,$0-1,
Consign to Memory,4.01,5.99,2.53,49.37655860349128,-36.90773067331671,3676.0,live,5.12744,27.866334164588537,$2-5,2.99
Spectacular Spider-Man (Borderless),9.11,8.49,3.26,-6.805708013172331,-64.21514818880351,2006.0,live,7.26744,-20.22568605927552,$5-10,
Garruk's Uprising,0.43,0.99,0.26,130.2325581395349,-39.53488372093023,2662.0,live,0.84744,97.07906976744188,$0-1,
Untimely Malfunction,8.83,11.99,7.84,35.78708946772367,-11.211778029445076,2025.0,live,10.26344,16.23374858437145,$5-10,8.11
"Arnyn, Deathbloom Botanist",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2479.0,live,0.2996,-19.02702702702703,$0-1,0.16
"Invisible Woman, Sue Storm (Borderless)",0.33,0.35,0.15,6.060606060606049,-54.54545454545456,2142.0,live,0.2996,-9.212121212121223,$0-1,
"Blech, Loafing Pest",0.42,0.49,0.15,16.666666666666668,-64.28571428571429,2468.0,live,0.41944,-0.1333333333333345,$0-1,0.21
Bojuka Bog,1.03,2.29,0.92,122.33009708737865,-10.679611650485436,3356.0,live,1.96024,90.31456310679611,$1-2,1.02
Lorien Revealed,4.73,6.49,3.9,37.20930232558139,-17.547568710359418,2952.0,live,5.55544,17.451162790697662,$2-5,
M.O.D.O.K.,4.27,7.99,3.8,87.11943793911009,-11.007025761124115,2096.0,live,6.83944,60.17423887587823,$2-5,4.5
Petrified Hamlet,0.61,0.49,0.15,-19.672131147540984,-75.40983606557377,3061.0,live,0.41944,-31.23934426229508,$0-1,0.24
Fanatic of Rhonas,13.97,16.99,13.49,21.61775232641373,-3.435934144595565,2027.0,live,14.54344,4.10479599141015,$10-20,12.0
Evolution Witness,0.29,0.79,0.15,172.41379310344828,-48.27586206896552,2525.0,live,0.6762400000000001,133.18620689655177,$0-1,0.25
"Silverquill, the Disputant",1.99,1.29,1.01,-35.175879396984925,-49.246231155778894,1900.0,live,1.10424,-44.51055276381909,$1-2,1.47
Blood Crypt,9.43,12.99,9.1,37.751855779427366,-3.4994697773064694,2041.0,live,11.11944,17.915588547189813,$5-10,9.21
Blazing Firesinger,0.32,0.35,0.15,9.374999999999991,-53.125,2892.0,live,0.2996,-6.375000000000009,$0-1,
Daydream,0.4,0.35,0.15,-12.50000000000001,-62.5,3099.0,live,0.2996,-25.10000000000001,$0-1,0.22
Cosmic Cube,12.43,17.99,11.46,44.73049074818986,-7.803700724054698,1952.0,live,15.399439999999998,23.88930008045051,$10-20,13.0
The Wondrous Wasp,0.69,1.29,0.15,86.95652173913045,-78.26086956521738,3447.0,live,1.10424,60.03478260869568,$0-1,0.5
Victimize,0.5,1.29,0.2,158.0,-60.0,2550.0,live,1.10424,120.84800000000004,$0-1,0.49
Tamiyo's Safekeeping,6.61,8.99,4.91,36.006051437216335,-25.718608169440245,2163.0,live,7.69544,16.421180030257172,$5-10,5.3
Formidable Speaker,8.11,10.99,7.18,35.51171393341555,-11.467324290998764,2209.0,live,9.40744,15.9980271270037,$5-10,7.12
Bridgeworks Battle,0.94,1.99,0.89,111.70212765957449,-5.319148936170206,2698.0,live,1.70344,81.21702127659576,$0-1,
"The Mighty Thor, Jane Foster",0.44,0.49,0.15,11.36363636363636,-65.90909090909092,2825.0,live,0.41944,-4.672727272727277,$0-1,0.27
Culling the Weak,10.35,9.99,7.37,-3.478260869565212,-28.79227053140097,1765.0,live,8.55144,-17.377391304347828,$10-20,7.22
Sol Ring,1.89,2.79,1.53,47.61904761904763,-19.04761904761904,2787.0,live,2.38824,26.36190476190477,$1-2,1.65
King T'Challa,11.7,18.99,9.46,62.30769230769231,-19.14529914529913,2136.0,live,16.25544,38.93538461538463,$10-20,
The Earth Crystal,12.13,17.99,11.72,48.30997526793072,-3.3800494641385006,1776.0,live,15.399439999999998,26.9533388293487,$10-20,11.85
The Astonishing Ant-Man,0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2605.0,live,0.41944,35.30322580645161,$0-1,0.28
Warren Soultrader,14.84,20.99,14.18,41.442048517520206,-4.447439353099732,1858.0,live,17.96744,21.074393530997305,$10-20,13.75
Mirkwood Bats (Borderless),1.65,1.79,0.98,8.484848484848492,-40.60606060606061,2063.0,live,1.53224,-7.136969696969689,$1-2,
Swiftfoot Boots,2.99,3.99,2.17,33.44481605351171,-27.424749163879607,2089.0,live,3.4154400000000003,14.22876254180602,$2-5,2.25
Jennifer Walters,11.87,17.99,11.42,51.558550968828975,-3.791069924178596,2036.0,live,15.399439999999998,29.7341196293176,$10-20,
Fellwar Stone,1.04,1.49,0.78,43.26923076923077,-25.0,2494.0,live,1.27544,22.638461538461524,$1-2,0.84
"The Thing, Ben Grimm (Borderless)",0.37,0.35,0.15,-5.405405405405411,-59.45945945945946,2033.0,live,0.2996,-19.02702702702703,$0-1,
Tony Stark,6.29,10.99,5.21,74.72178060413354,-17.170111287758345,1855.0,live,9.40744,49.56184419713831,$5-10,
Terrasymbiosis,7.36,13.99,7.63,90.08152173913044,3.668478260869559,1794.0,live,11.97544,62.70978260869565,$5-10,7.94
Redirect Lightning,12.22,17.99,10.3,47.21767594108018,-15.71194762684124,1839.0,live,15.399439999999998,26.01833060556463,$10-20,10.6
Steam Vents,13.87,16.99,10.68,22.494592645998555,-22.999279019466474,2031.0,live,14.54344,4.855371304974762,$10-20,11.79
"Human Torch, Johnny Storm (Borderless)",0.31,0.35,0.15,12.903225806451609,-51.61290322580645,2030.0,live,0.2996,-3.354838709677426,$0-1,
Emeritus of Conflict,1.4,0.99,0.78,-29.28571428571428,-44.28571428571428,2104.0,live,0.84744,-39.46857142857142,$1-2,
Noxious Newt,0.32,0.39,0.15,21.875000000000004,-53.125,4166.0,live,0.33384,4.3250000000000055,$0-1,0.15
Stomping Ground,6.66,9.99,6.51,50.0,-2.2522522522522577,1903.0,live,8.55144,28.39999999999999,$5-10,6.6
The Ooze,3.31,4.99,3.12,50.75528700906344,-5.740181268882173,1992.0,live,4.27144,29.04652567975831,$2-5,3.99
Patchwork Banner,3.49,4.49,1.87,28.653295128939828,-46.41833810888252,1974.0,live,3.84344,10.127220630372491,$2-5,2.0
Coruscation Mage,2.01,2.29,1.04,13.930348258706482,-48.25870646766168,2227.0,live,1.96024,-2.475621890547254,$2-5,
Emeritus of Truce,1.27,0.99,0.61,-22.047244094488192,-51.96850393700787,1960.0,live,0.84744,-33.27244094488189,$1-2,
Mind into Matter,0.4,0.49,0.15,22.5,-62.5,2341.0,live,0.41944,4.85999999999999,$0-1,0.48
Boggart Trawler,0.87,2.29,0.7000000000000001,163.2183908045977,-19.540229885057464,2703.0,live,1.96024,125.31494252873566,$0-1,
Namor the Sub-Mariner,7.76,12.99,6.7700000000000005,67.39690721649485,-12.757731958762877,2244.0,live,11.11944,43.29175257731958,$5-10,9.15
Molten-Core Maestro,0.66,0.49,0.15,-25.75757575757576,-77.27272727272727,2493.0,live,0.41944,-36.44848484848485,$0-1,0.35
Collective Resistance,1.29,2.99,1.15,131.78294573643413,-10.852713178294584,2489.0,live,2.55944,98.40620155038758,$1-2,1.36
Bruce Banner,6.42,9.99,5.72,55.60747663551402,-10.903426791277262,1860.0,live,8.55144,33.2,$5-10,
Iron Man Armor,3.97,8.49,3.86,113.85390428211586,-2.770780856423182,2076.0,live,7.26744,83.05894206549117,$2-5,4.29
Glaring Fleshraker,0.8,2.29,0.41,186.25,-48.75000000000001,3226.0,live,1.96024,145.03,$0-1,0.74
Goldspan Dragon,6.17,7.49,5.63,21.393841166936795,-8.752025931928689,2075.0,live,6.41144,3.913128038897891,$5-10,5.42
"The Sentry, Golden Guardian",0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2683.0,live,0.41944,16.51111111111111,$0-1,0.35
Watery Grave,9.56,15.99,9.33,67.25941422594141,-2.405857740585778,1870.0,live,13.68744,43.17405857740585,$5-10,9.28
Faerie Mastermind,11.92,15.99,10.6,34.144295302013425,-11.073825503355708,1949.0,live,13.68744,14.827516778523494,$10-20,10.18
Overgrown Tomb,9.33,13.99,7.81,49.94640943193998,-16.29153269024652,1919.0,live,11.97544,28.354126473740628,$5-10,8.38
Arcane Signet,0.69,0.99,0.44,43.478260869565226,-36.23188405797101,2706.0,live,0.84744,22.81739130434783,$0-1,0.5
"Ozolith, the Shattered Spire",5.0,7.49,4.82,49.8,-3.5999999999999943,1915.0,live,6.41144,28.2288,$5-10,4.66
Moonshaker Cavalry,6.19,8.99,6.12,45.23424878836833,-1.130856219709213,2036.0,live,7.69544,24.32051696284328,$5-10,6.06
Heroic Feast,0.3,0.49,0.15,63.33333333333334,-50.0,3346.0,live,0.41944,39.81333333333333,$0-1,0.31
Ark of Hunger,0.36,0.49,0.15,36.11111111111112,-58.333333333333336,2078.0,live,0.41944,16.51111111111111,$0-1,0.34
Enduring Vitality,16.73,17.99,14.5,7.531380753138063,-13.329348475791994,1755.0,live,15.399439999999998,-7.953138075313819,$10-20,16.67
Boltwave,2.52,3.49,1.04,38.4920634920635,-58.730158730158735,2451.0,live,2.9874400000000003,18.54920634920636,$2-5,1.63
"Storm, Windrider",0.45,0.49,0.15,8.888888888888884,-66.66666666666667,2395.0,live,0.41944,-6.791111111111118,$0-1,0.25
Ephemerate,5.41,6.49,5.12,19.963031423290204,-5.360443622920518,2175.0,live,5.55544,2.68835489833641,$5-10,5.59
Unexpected Windfall,3.46,4.99,2.85,44.21965317919076,-17.630057803468205,1793.0,live,4.27144,23.45202312138729,$2-5,3.17
Ripples of Undeath,5.91,9.99,5.41,69.03553299492386,-8.460236886632826,1704.0,live,8.55144,44.694416243654814,$5-10,5.97
"Wolverine, Fierce Fighter",0.41,0.49,0.15,19.512195121951223,-63.41463414634146,2215.0,live,0.41944,2.302439024390245,$0-1,0.25
Temple Garden,7.85,10.99,7.3,40.00000000000001,-7.006369426751591,1872.0,live,9.40744,19.84,$5-10,7.44
"Captain America, Super-Soldier",3.83,6.99,2.65,82.50652741514361,-30.809399477806792,1915.0,live,5.98344,56.225587467362914,$2-5,3.15
"Shang-Chi, Master of Kung Fu",9.99,17.99,10.3,80.08008008008007,3.103103103103108,1937.0,live,15.399439999999998,54.148548548548526,$5-10,10.38
Hallowed Fountain,7.03,9.99,5.21,42.10526315789473,-25.88904694167852,1893.0,live,8.55144,21.64210526315788,$5-10,
Restoration Magic,2.21,2.79,1.12,26.24434389140272,-49.32126696832579,2038.0,live,2.38824,8.06515837104073,$2-5,1.81
"Kutzil, Malamet Exemplar",4.49,3.99,2.5,-11.135857461024498,-44.32071269487751,1842.0,live,3.4154400000000003,-23.932293986636967,$2-5,3.42
Sacred Foundry,10.13,14.99,9.37,47.976307996051325,-7.502467917078001,1835.0,live,12.83144,26.667719644619936,$10-20,9.62
Brain Freeze,3.15,4.99,2.8000000000000003,58.412698412698425,-11.1111111111111,1689.0,live,4.27144,35.60126984126985,$2-5,3.15
Castle Doom,0.55,0.49,0.15,-10.90909090909092,-72.72727272727273,3071.0,live,0.41944,-23.73818181818183,$0-1,0.5
Norman Osborn,17.64,18.99,17.6,7.653061224489783,-0.2267573696145076,1709.0,live,16.25544,-7.848979591836737,$10-20,
Brotherhood Regalia,8.93,15.99,7.28,79.05935050391938,-18.477043673012314,1705.0,live,13.68744,53.274804031355,$5-10,
Malevolent Rumble,0.34,0.99,0.15,191.17647058823525,-55.88235294117647,4635.0,live,0.84744,149.2470588235294,$0-1,0.3
Hardened Academic,0.42,0.49,0.15,16.666666666666668,-64.28571428571429,2568.0,live,0.41944,-0.1333333333333345,$0-1,0.48
Breeding Pool,9.52,15.99,9.25,67.9621848739496,-2.8361344537815083,1755.0,live,13.68744,43.77563025210085,$5-10,9.31
Helping Hand,0.24,0.35,0.15,45.83333333333333,-37.5,2262.0,live,0.2996,24.83333333333333,$0-1,0.35
Command Tower,0.34,0.99,0.25,191.17647058823525,-26.470588235294123,2424.0,live,0.84744,149.2470588235294,$0-1,0.25
Kaya's Ghostform,1.94,3.99,1.37,105.67010309278352,-29.381443298969064,1770.0,live,3.4154400000000003,76.0536082474227,$1-2,
Weftstalker Ardent,0.7,2.29,0.4,227.1428571428572,-42.85714285714285,2076.0,live,1.96024,180.03428571428572,$0-1,
Springheart Nantuko,5.59,7.49,3.9,33.98926654740609,-30.23255813953488,1685.0,live,6.41144,14.694812164579607,$5-10,4.91
Thraben Charm,0.33,0.59,0.15,78.78787878787877,-54.54545454545456,3676.0,live,0.5050399999999999,53.04242424242421,$0-1,0.31
Abandoned Air Temple,5.99,9.99,5.73,66.7779632721202,-4.34056761268781,1805.0,live,8.55144,42.76193656093488,$5-10,5.51
Firdoch Core,0.34,0.49,0.15,44.11764705882352,-55.88235294117647,3026.0,live,0.41944,23.36470588235293,$0-1,0.36
Great Hall of the Biblioplex,0.76,0.49,0.15,-35.526315789473685,-80.26315789473684,2748.0,live,0.41944,-44.81052631578948,$0-1,0.44
